gene_name,CD34 shRNA SC,CD34 shRNA HRI 1,CD34 shRNA HRI 2,HUDEP2_nontargeting_sgRNA_undifferentiated_rep1,HUDEP2_HRI_sgRNA5_undifferentiated_rep1,HUDEP2_nontargeting_sgRNA_undifferentiated_rep2,HUDEP2_HRI_sgRNA5_undifferentiated_rep2,HUDEP2_nontargeting_sgRNA_differentiated_rep1,HUDEP2_HRI_sgRNA5_differentiated_rep1,HUDEP2_nontargeting_sgRNA_differentiated_rep2,HUDEP2_HRI_sgRNA5_differentiated_rep2
SNRPB,3728,1077,2073,10461,10691,9767,9416,2081,1973,2144,2006
NRSN2,13,8,0,78,99,52,68,3,3,4,14
AP5S1,186,237,327,319,380,388,341,169,167,274,221
RRBP1,1101,265,583,2252,2484,2541,2743,367,189,348,323
BMP2,80,15,27,13,10,7,4,1,0,1,9
ZNF133,490,250,432,598,607,615,625,295,282,235,241
FLRT3,3,5,0,4,2,1,0,17,12,15,4
OVOL2,0,2,0,7,1,2,1,2,7,10,4
PCSK2,43,26,45,24,15,30,30,32,30,27,17
GFRA4,0,0,0,0,0,0,0,0,0,1,2
MKKS,868,427,870,2050,2409,2574,2639,729,380,714,458
BFSP1,22,4,0,34,32,63,63,10,1,14,18
DSTN,2823,923,2839,5609,6543,7113,7144,2773,1583,3279,1565
LAMP5,6,0,6,0,0,0,0,0,0,0,0
SNRPB2,2355,1189,2484,6001,6728,6680,6931,1783,1427,2104,1526
MGME1,2385,2018,3191,2266,3027,2627,2644,3061,3410,2961,3297
LRRN4,19,14,4,10,12,16,13,7,5,10,27
TBC1D20,1804,2209,4381,955,1047,984,939,2548,2723,2910,2656
ITPA,529,289,438,1602,1791,1684,1575,273,303,312,270
TCF15,13,0,0,3,5,1,2,0,0,0,2
OTOR,0,0,0,1,0,1,0,0,1,5,0
MCM8,5512,1726,3817,5240,6210,5949,6170,4918,5132,5801,6028
BANF2,0,0,0,0,0,1,0,0,0,0,0
TMEM74B,184,227,568,8,13,40,14,309,594,335,552
FAM110A,313,157,376,312,247,294,233,496,460,423,514
C20orf187,3,0,0,0,0,0,0,0,0,0,0
SIRPD,5,3,2,1,0,0,0,0,0,0,0
MRPS26,290,49,228,1016,1077,935,990,80,36,88,68
DEFB129,0,0,0,0,0,0,3,0,0,1,0
S1PR4,260,49,89,982,819,915,808,54,58,45,34
NCLN,503,245,561,2224,2171,1861,1733,325,177,279,211
CITED1,13,0,5,1,5,6,2,2,0,0,0
HNRNPR,6974,2329,5018,11320,13270,13197,12988,5467,5987,6186,6797
ZNF436,334,345,447,274,348,346,305,336,320,385,387
MAX,1777,2103,2031,1998,2372,2175,2455,2194,2233,2499,2628
CHURC1-FNTB,82,20,151,122,113,103,45,0,0,16,0
ARMCX5,214,129,168,859,1054,1053,1034,218,146,255,145
GDF5,33,9,1,9,0,1,3,5,7,4,7
MMP24,57,69,63,17,14,25,22,56,23,32,24
NECAB3,214,286,191,294,309,267,323,324,379,395,466
ID1,700,647,407,368,386,415,467,418,477,400,391
RALY,1901,1724,3022,2750,3193,3206,3252,3294,3444,3766,3727
DYNLRB1,1050,853,2387,1039,1235,1260,1389,1070,875,1197,1060
C20orf173,0,0,2,3,2,0,1,0,0,0,6
EIF2S2,13032,14450,24111,15298,17899,17302,17317,21821,20815,25841,22666
ERGIC3,3079,1356,3211,5582,5827,5989,5117,2148,1625,2225,1837
ROMO1,326,335,530,1230,1340,927,1131,269,251,296,218
FAM83C,3,7,2,1,1,6,0,2,5,5,4
BPIFB1,52,8,15,24,23,23,29,32,32,14,21
CEP250,5794,2091,3149,5584,5974,5550,5497,3383,3571,3580,3493
PLAGL2,452,331,552,488,518,448,408,597,653,564,601
GRPR,0,7,0,1,0,0,2,0,2,3,0
KDM5C,2451,2436,3430,2652,2818,3024,2830,2875,2636,2923,2879
AMOT,12,2,3,2,8,0,0,6,2,3,0
TMEM115,474,556,876,520,606,524,475,674,677,652,795
PSMB2,1144,843,1591,3030,3124,2956,3194,1720,1213,1568,1536
AGO3,2163,1363,1554,2418,2485,2550,2552,1950,1733,1902,1933
UROD,16006,25994,35454,11264,12480,12210,12062,27926,30095,31150,32234
ST3GAL3,487,272,629,117,137,200,195,341,377,327,450
TMEM53,104,135,142,117,129,150,103,119,126,144,159
HECTD3,2907,3449,4536,1516,1726,1651,1620,3086,3495,3655,4167
KLC1,4310,3525,5761,3458,4039,4104,3654,4236,4325,3974,4670
XRCC3,658,208,569,1033,925,1023,1006,539,610,659,605
TUBGCP3,2593,917,2402,1697,2199,2446,2273,2879,2753,2682,2807
MCF2L,72,16,37,15,22,33,22,29,64,27,42
F10,1,0,0,1,0,1,3,6,0,0,2
PCID2,2457,1911,2353,3835,4125,4515,4629,3153,2585,3372,2761
PROZ,0,7,3,7,8,14,7,5,19,0,12
SLURP1,0,4,0,0,0,0,0,0,0,0,0
LRFN3,9,3,5,4,10,18,5,1,4,2,14
IGFLR1,140,80,140,72,118,68,82,134,143,126,144
CAPNS1,2220,2572,4172,4362,4872,5274,5163,4934,3772,6303,4370
PDCD2L,189,43,109,1411,1555,1893,1784,140,74,163,97
GPR42,17,9,2,0,0,0,0,1,0,0,0
