gene_name,H9_WT_B1,H9_WT_B2,H9_KO_UGP2_B1,H9_KO_UGP2_B2,H9_KI_B1,H9_KI_B2,NSC_WT_B1,NSC_WT_B2,NSC_KO_UGP2_B1,NSC_KO_UGP2_B2,NSC_KI_B1,NSC_KI_B2
NAA10,3372,3563,3295,3673,4291,3525,4146,4845,5523,4839,3823,3742
RENBP,255,220,287,268,350,323,152,284,181,391,588,600
ELF4,100,78,104,57,75,115,1732,2401,1302,463,1865,1809
SMARCA1,10539,10100,10538,10800,10960,11252,16540,17824,11638,16521,20497,19115
MTMR8,194,187,209,173,189,215,48,81,45,64,130,48
ASB9,30,26,25,27,37,33,8,11,15,53,5,8
ZC3H12B,150,120,189,119,130,121,147,213,180,510,355,275
RBBP7,13952,13485,14467,15493,16528,14292,8683,12630,8508,11678,14248,11937
PPP1R2C,0,0,0,0,0,0,0,0,0,0,0,0
KCND1,382,323,283,298,275,261,165,349,85,112,274,268
OPN1LW,0,0,0,0,0,1,0,0,0,0,0,0
SLC25A14,290,274,255,293,409,384,544,603,446,496,577,535
FMR1,1880,1988,2179,2008,1785,1877,1525,2041,1969,2589,2288,2094
PIM2,6190,6329,5656,7276,6528,6404,408,570,431,554,434,425
SCML2,1647,1562,1633,1801,2165,1685,194,218,318,1099,295,234
SLC35A2,921,910,773,1091,891,924,1355,1372,1281,816,981,981
PQBP1,2501,2520,1962,2804,3125,2609,1442,1842,1774,1894,1798,1513
RS1,0,0,2,0,0,1,0,0,3,3,2,0
PCSK1N,48,53,63,65,49,42,241,227,191,197,200,242
EMD,2601,2494,2181,3097,2754,2671,1903,2426,2543,2438,1998,1842
TAZ,569,690,772,599,652,511,551,601,820,1072,829,668
RAB40AL,2,2,1,2,0,1,0,0,10,0,1,2
PGK1,18741,18127,19136,18598,20269,19917,32168,27795,23909,14816,17738,18369
GATA1,2,1,0,1,0,0,0,0,0,0,0,0
MAGT1,3671,3496,3131,3730,3620,3581,6008,6909,7264,8559,5635,4471
SMS,10076,10131,9885,9856,12491,11642,10729,12309,11445,9125,9998,8489
PHEX,1,3,4,4,7,4,38,60,39,21,100,36
UBL4A,1671,1476,1323,1172,1729,1599,1278,1401,1316,1212,1251,1292
CD99L2,545,538,598,605,617,643,3497,4347,3003,3598,3896,3870
EEA1,1238,1144,1118,919,790,1092,3177,4082,2633,1559,2476,2277
GPR50,248,239,96,200,201,268,2,2,25,55,7,2
RP2,646,590,578,452,548,616,1496,1689,1184,1289,1673,1323
JADE3,1772,1740,1743,1834,1276,1530,779,961,1033,1521,1223,967
CDK16,7409,7372,8000,7544,7590,7659,8830,11492,10875,12330,11877,10210
USP11,6425,6369,6734,7357,7320,6993,9147,10856,10102,14663,13035,12842
PCYT1B,4074,4286,5031,5082,4305,4307,261,723,356,873,422,398
BRS3,0,0,0,0,0,0,0,0,0,3,0,0
HTATSF1,5831,5684,5488,6176,6706,6228,2780,3996,3377,5435,4435,3769
VGLL1,0,0,0,0,0,0,0,0,0,0,0,0
CD40LG,10,10,3,6,16,13,9,17,2,11,11,7
TIMP1,1233,1178,1186,1136,2259,1866,14386,12374,9389,5136,13526,15719
KLHL4,2437,2508,2794,2819,2561,2812,2858,2616,812,677,2065,2497
GABRE,130,172,183,188,96,122,257,230,169,193,592,564
PCDH11X,557,580,688,666,307,436,20,19,19,36,8,16
FGD1,1980,2133,2470,1921,1798,1814,1338,1902,1920,2606,2074,1991
PIN4,1334,1331,1489,1372,1553,1395,980,1205,903,955,887,935
PORCN,543,583,694,478,530,546,450,432,297,336,562,480
ITIH6,2,1,4,5,1,6,0,2,0,2,3,1
MAGED2,7690,7382,7212,7642,9692,8468,22431,25170,21936,26164,26045,26176
RBM3,8591,8565,6695,10974,11344,10837,10601,14709,10385,9785,9575,8695
KLF8,575,565,588,541,421,657,75,126,51,108,115,128
SRPX2,2,0,0,0,1,4,1933,1863,1070,554,1316,1767
SYTL4,22,13,16,27,15,18,479,709,225,204,894,769
ZDHHC15,265,297,190,333,244,248,47,102,100,196,181,121
CENPI,1391,1468,1240,1470,1373,1565,774,988,1024,1184,842,546
DRP2,55,61,63,51,70,60,203,223,279,176,197,122
TAF7L,7,6,6,5,4,9,8,12,26,14,6,8
PBDC1,1977,1747,1643,2207,2413,2044,1331,1434,1139,1117,1260,1218
GLA,1587,1544,1554,1798,1699,1518,912,943,957,1206,1014,811
ARMCX3,1187,1183,1105,1104,803,972,4702,5910,4696,5534,7027,6374
BEX4,1980,1972,1886,2053,2479,2035,2505,2917,2128,2839,3427,2950
RUBCNL,181,201,193,150,173,184,13,19,35,100,45,49
NALCN,97,78,92,88,56,88,556,550,189,117,241,324
FGF14,20,5,31,4,1,17,8,44,4,54,48,8
HTR2A,0,10,0,16,1,4,1,10,1,9,4,4
NDFIP2,1167,1188,1036,903,1247,1496,4195,4118,2164,1563,3289,3019
