gene_name,Control_0nM Dox-1,Control_0nM Dox-2,Control_350nM Dox-1,Control_350nM Dox-2,sg_P130_0nM Dox-1,sg_P130_0nM Dox-2,sg_P130_350nM Dox-1,sg_P130_350nM Dox-2,sg_RB1_0nM Dox-1,sg_RB1_0nM Dox-2,sg_RB1_350nM Dox-1,sg_RB1_350nM Dox-2,sgRB1+sgP130_0nM Dox-1,sgRB1+sgP130_0nM Dox-2,sgRB1+sgP130_350nM Dox-1,sgRB1+sgP130_350nM Dox-2
CKLF-CMTM1,27,43,13,28,17,22,16,13,45,18,31,12,0,27,40,39
FDPSP4,0,2,0,0,0,0,2,0,1,0,1,4,0,0,1,1
OR5AP1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNRPCP14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYS1-DBNDD2,26,4,15,0,0,12,0,105,3,40,0,11,0,0,5,18
OR10AK1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928535,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
LOC340357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LMNTD2-AS1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
OR9G2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC22A18AS,1,1,9,3,1,1,7,7,0,0,3,8,3,0,2,2
KRT18P58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4A40P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR5M10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100287896,11,18,11,0,36,10,7,12,28,12,7,2,11,7,10,3
GVINP1,9,9,5,1,7,12,12,2,7,14,5,5,2,5,13,3
LOC101929269,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0
OR4V1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR5BN1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPIPA2,25,0,0,0,0,0,0,0,0,14,35,0,38,0,28,0
LOC102724301,0,0,3,0,0,2,3,1,0,0,3,2,0,0,2,3
NDUFA3P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRGPRX12P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPV17L2,283,299,449,292,356,277,449,407,389,333,541,580,295,204,676,590
TMEM9B-AS1,13,11,16,57,14,8,6,14,15,25,38,10,0,6,39,12
LGR4-AS1,0,0,2,13,0,0,3,0,0,0,3,1,0,0,2,0
LOC100420020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP6V1G2-DDX39B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUGT1P4-STRA6LP,8,9,0,0,10,9,1,0,16,13,3,2,19,5,9,1
LOC100422398,4,0,0,0,5,0,0,0,5,0,1,1,0,0,1,5
PKNOX2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100505622,8,15,12,12,16,12,15,6,17,35,20,17,54,13,50,32
OR4A9P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTCO3P15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
