gene_name,Control_0nM Dox-1,Control_0nM Dox-2,Control_350nM Dox-1,Control_350nM Dox-2,sg_P130_0nM Dox-1,sg_P130_0nM Dox-2,sg_P130_350nM Dox-1,sg_P130_350nM Dox-2,sg_RB1_0nM Dox-1,sg_RB1_0nM Dox-2,sg_RB1_350nM Dox-1,sg_RB1_350nM Dox-2,sgRB1+sgP130_0nM Dox-1,sgRB1+sgP130_0nM Dox-2,sgRB1+sgP130_350nM Dox-1,sgRB1+sgP130_350nM Dox-2
ANGEL1,138,189,160,204,186,203,159,102,186,171,210,161,85,145,218,102
RNF14,583,1019,563,251,985,886,847,304,910,679,721,811,161,443,559,417
DNASE1L1,1006,1075,1217,944,1065,981,1204,857,1181,717,1316,1475,590,728,1311,1233
DDX11,462,500,205,257,689,503,163,177,746,447,446,455,292,840,577,391
HEBP1,782,724,1115,740,718,739,1236,872,947,603,1404,1487,506,411,1346,1217
GPRC5A,1765,1905,4954,4310,1387,1587,4843,3697,2506,1508,7742,8651,479,1794,6970,6222
MAMLD1,238,251,339,267,307,269,442,349,299,143,428,360,76,299,532,338
CD6,0,0,0,10,1,1,0,12,0,0,0,0,0,1,0,0
TACC3,2131,2479,354,599,2718,2644,320,219,3309,2857,435,563,1910,2078,971,850
UFL1,396,460,147,85,587,607,256,159,437,227,196,197,153,152,168,160
POLA2,1167,1184,342,546,1365,1164,483,269,1840,1453,731,851,888,936,955,1034
ZC3H3,440,533,384,319,524,507,350,302,647,523,584,643,311,544,551,551
CAPN1,4944,5052,5069,4236,4956,4605,4367,3835,5743,4243,5851,6356,2404,4090,4574,4749
ACP3,14,34,27,28,30,16,31,16,22,20,51,76,8,24,53,27
MDH1,1420,1601,1356,1146,1726,1684,1675,761,2057,1584,1701,2074,1095,768,1710,1350
SLC30A9,1128,1065,765,433,1234,1223,896,331,1172,437,806,941,235,429,757,630
MTMR11,137,187,91,111,231,206,93,144,258,131,160,172,55,172,103,73
COX15,422,506,336,345,511,572,497,212,526,310,420,532,162,324,385,313
CCDC88C,14,2,12,78,6,0,1,1,1,0,11,44,0,3,14,4
YAF2,135,221,160,132,221,234,227,73,194,219,206,263,290,84,311,249
ZMYND11,1190,1336,839,569,1391,1128,953,677,1459,685,926,877,413,672,837,718
WAS,2,0,12,0,2,0,3,0,2,0,8,16,0,2,10,22
DPEP1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0
BID,748,722,464,747,889,713,357,408,1015,723,743,736,598,476,786,845
MATR3,2899,3186,2426,2469,3331,3440,2137,1638,3894,1763,2511,2856,1608,1713,2349,1817
NPC1L1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
XYLT2,988,1050,804,330,1175,1034,688,569,1106,735,881,759,514,745,601,583
RGPD5,74,26,148,143,40,36,111,124,69,65,158,186,133,65,144,161
STMN4,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0,1
NUDCD3,1740,1573,1268,1228,1693,1594,1373,702,2037,884,1905,1718,997,1457,1359,1441
ISL1,36,31,35,26,64,52,48,12,38,29,31,21,0,18,40,18
CHDH,28,25,84,27,25,34,96,97,45,14,133,133,59,59,106,106
IL20RA,1,0,2,0,3,0,0,0,0,8,2,0,0,0,4,1
CLCA1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0
CLCA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
GLT8D1,668,834,491,302,984,848,651,336,873,497,517,574,410,257,443,337
ATP2C1,3169,3489,2416,1293,3879,4103,2626,1570,3065,1706,2304,2738,924,1630,2062,1604
IGF1,1,5,2,0,3,5,6,4,1,0,1,10,0,0,20,14
SLC38A5,94,57,26,30,81,103,49,40,230,138,120,130,94,27,112,80
RALBP1,1877,2264,833,675,2450,2302,1102,623,2205,1541,1143,1241,2814,1170,1231,949
RUFY3,277,276,182,223,426,408,234,154,289,289,243,313,112,167,305,184
CNTN1,0,3,2,0,13,11,0,0,5,0,9,17,0,0,7,9
SLC11A1,6,8,8,44,16,15,18,25,17,2,18,16,21,8,33,25
WWTR1,1255,1496,1839,1428,1543,1431,1959,1129,1773,754,2279,2596,399,1176,2340,1736
AGPS,523,758,211,153,705,788,278,135,912,503,393,449,130,411,278,242
ZNF806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CXorf56,324,272,225,126,368,249,257,167,319,218,241,257,301,170,215,186
ATP1A2,0,2,1,0,2,5,0,0,4,0,5,2,0,1,1,1
TTC27,444,354,110,153,458,439,156,54,378,280,118,173,202,193,99,75
ZNF582,23,24,69,73,21,21,90,92,28,86,66,69,8,13,74,63
VSIG2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,1,0
PHLDB1,2981,3477,1238,1233,3821,3533,1467,1107,3934,2334,1818,1623,1932,3247,1357,1293
MARCO,0,0,5,0,0,0,1,0,0,0,7,3,0,0,2,6
CYP24A1,4,7,55,25,4,7,51,26,17,0,107,75,0,4,83,69
PRDM11,232,185,185,98,305,194,186,303,303,245,228,265,82,173,160,220
SYT13,0,0,0,0,0,1,3,0,0,0,0,4,0,0,2,0
SNAI2,1118,1421,1028,768,1503,1498,1249,715,1369,800,1077,1254,536,642,975,906
CD74,47,34,82,158,35,31,65,32,76,38,124,84,66,61,187,146
HGF,143,174,158,153,193,156,138,47,116,69,81,81,77,48,79,64
ZRANB1,564,854,648,458,798,818,822,659,856,317,640,801,394,504,669,476
NCDN,712,897,1105,700,845,762,924,737,978,583,945,998,254,748,895,881
ADGRA2,4140,4820,7838,5382,4737,4517,6577,5520,4333,2485,6997,7233,1380,3675,6296,5597
CCT8L1P,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,5
ZFP64,352,345,145,194,337,330,240,148,451,503,323,238,182,333,206,259
MNAT1,255,417,128,84,500,479,181,73,395,276,154,161,202,105,102,67
SAMD4A,1410,1739,968,1055,1857,1764,946,818,2084,1449,1295,1326,885,2204,1513,1274
RUNX3,565,602,785,818,744,702,752,796,607,445,1002,1031,503,622,1575,1210
MRE11,365,445,284,288,623,615,387,152,433,528,321,436,166,250,415,289
PLEKHB1,5,2,27,0,1,2,8,3,3,0,10,2,0,1,16,2
SERPINB1,317,289,385,321,415,484,665,294,589,349,588,843,189,225,522,584
CYP3A43,6,4,0,0,1,2,2,0,0,1,3,3,0,2,1,0
SLC7A9,0,0,1,0,0,2,2,0,2,8,0,3,0,1,0,2
SPAST,153,297,167,36,244,278,165,54,274,116,135,94,27,147,94,69
NRXN3,22,17,32,2,16,17,41,25,39,102,30,83,0,32,21,13
OSBPL5,878,1017,565,487,1206,860,517,610,1267,1098,846,988,711,939,878,830
AQR,950,990,468,547,1188,1177,677,511,1053,1003,450,539,376,594,672,440
CPS1,262,242,35,39,270,269,47,48,241,226,74,84,100,192,63,41
C8B,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,11
FHL1,3477,4197,870,832,4433,4203,955,947,4120,3305,928,958,804,1664,845,509
RTF2,1761,2009,1846,1566,2264,2255,2424,1495,2106,1678,2089,2313,848,630,1657,1439
GABRA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRP2,6,6,3,0,8,1,6,0,6,0,15,0,6,11,6,0
SLC45A4,121,217,140,137,238,255,140,112,138,106,178,305,34,221,136,111
RNF10,2514,2740,2617,2683,2827,2733,3633,2371,2384,2321,3454,3724,2230,1877,3328,2688
ZNF839,161,166,29,1,205,157,48,33,146,85,49,46,82,119,36,50
ZDHHC6,599,675,331,197,862,983,458,221,1009,396,450,441,415,309,438,257
GRAMD1B,934,1057,637,487,1117,1091,617,264,1384,594,1016,906,555,1503,1233,951
RB1CC1,442,535,609,584,870,844,703,717,610,555,907,820,366,388,1020,476
ERP44,1440,1792,1738,1256,2005,2198,2225,1134,1547,1112,1839,2164,845,745,2094,1542
ALAS1,799,780,611,407,893,900,718,515,988,637,896,895,537,491,964,780
BIRC3,122,176,108,94,219,204,165,82,202,258,138,207,176,87,245,218
AKAP11,866,1374,884,615,1446,1474,1461,548,1055,516,899,1175,269,719,848,584
GLRX2,120,166,88,86,244,276,148,34,163,124,121,127,153,44,114,105
SNAPC1,284,413,634,477,457,498,939,521,372,199,872,977,280,114,922,620
DERA,300,357,376,238,366,335,534,377,497,242,549,589,218,158,669,586
STRAP,1857,2462,1445,1155,3192,3048,2294,841,2097,1315,1572,1644,1010,755,1351,1087
ABCC2,16,17,10,21,40,18,38,8,22,1,7,20,0,11,15,16
DEF6,17,26,14,160,32,25,22,57,17,6,32,55,18,22,40,52
PLEKHO1,1562,1445,909,699,1607,1405,874,655,1866,1380,1096,1129,1109,1062,1491,982
GCLM,1011,1171,869,743,1516,1343,1458,567,1091,734,851,1383,432,458,1083,637
UBR2,712,910,979,718,1068,1114,1203,537,736,576,807,1071,325,578,739,609
EHD2,10945,13389,4420,3992,13352,12406,5230,4409,13018,7923,6137,6031,4563,9532,4268,4565
DEPDC1,525,719,9,12,948,1386,9,10,568,417,20,35,124,235,30,24
CCDC28A,84,107,72,73,117,125,81,36,90,90,68,85,42,51,97,65
RRAGD,5,5,1,0,2,16,2,10,35,0,4,7,15,17,4,2
HSF2,201,264,140,82,349,263,263,69,337,142,177,255,133,141,149,98
PHF20,614,740,701,387,859,827,680,528,788,728,873,906,625,703,795,713
HSD17B6,51,54,18,0,72,48,18,17,33,40,65,79,35,14,103,102
NR1H3,47,59,39,40,95,53,43,39,60,114,49,82,45,49,36,20
TYMP,1002,1185,594,535,1069,1067,466,493,1729,1272,951,975,1371,875,804,762
NCAPH2,942,867,386,210,999,905,447,315,1324,1426,995,1093,732,819,1180,967
TOMM34,1624,1755,1661,1556,1919,1653,1935,1366,1838,1101,1820,1912,816,963,1682,1569
SEC63,1245,1703,744,694,2557,2606,1494,649,1664,1172,730,975,2327,737,1073,721
KPNA6,3018,3429,2598,1983,3520,3496,2907,1703,3254,2203,2511,2896,2796,2688,2575,1983
VIM,130850,151678,66669,54958,166559,160353,76441,51524,165530,105208,81757,82049,70247,88993,73689,66750
RTEL1-TNFRSF6B,230,78,52,0,167,243,136,139,233,0,31,116,21,69,107,20
FAS,606,660,1364,1201,751,733,1483,939,593,377,1511,1978,115,223,1632,1237
RNASET2,305,318,413,601,423,345,501,326,278,185,386,346,189,130,428,246
CD44,32529,33888,61097,46694,30882,31074,59064,41305,37758,24772,69015,75027,14715,28107,79836,63236
KCNG1,112,89,126,135,129,108,110,70,140,67,196,245,75,98,253,273
AGPAT4,96,171,64,11,99,96,205,25,247,32,134,93,67,60,85,151
SLAMF7,0,2,3,0,1,1,2,0,5,0,9,4,6,0,3,7
BTN3A1,343,511,234,236,416,471,218,164,448,316,224,345,234,293,248,152
MIPEP,284,325,270,125,392,309,248,251,285,203,234,281,72,139,236,279
PRKCH,2,6,49,1,13,8,63,86,8,43,128,96,3,17,211,165
INSRR,0,0,0,0,0,1,0,0,1,0,5,0,0,0,12,9
IFNGR1,646,790,917,704,1007,1022,1117,542,663,431,903,962,311,280,1078,567
B4GALT7,343,350,639,597,373,356,599,646,475,253,891,825,363,324,668,845
SH2D2A,2,6,148,168,6,5,95,121,9,33,174,207,4,2,195,210
VRK2,366,438,234,137,531,555,361,149,481,267,314,305,134,191,256,168
TNFRSF1B,121,141,113,104,111,130,82,76,196,163,183,211,171,162,459,357
VEZT,787,1029,268,195,1017,1090,297,186,1061,439,276,372,294,493,281,164
POU2F2,1850,1966,555,509,2035,2374,483,420,2615,1583,1040,999,4676,3384,1647,2004
BRD9,668,748,550,486,850,791,558,475,891,558,650,650,1314,436,706,598
SNX1,1428,1749,1478,1192,1812,1685,1439,1009,1812,1087,1526,1675,780,954,1369,1182
TBPL1,142,243,158,85,349,293,223,113,212,112,145,185,37,66,196,155
ARNTL2,926,1036,299,146,1246,1013,392,125,1352,1262,482,511,327,1070,489,272
BCLAF1,2472,2561,899,1120,2276,2451,941,505,2769,1567,828,1098,2651,1410,1103,679
SLC39A9,1162,1610,1638,1292,1658,1768,1925,842,1541,1065,1609,1942,568,1030,1820,1178
ANK1,942,800,2253,1634,816,829,2092,2285,1260,521,2680,4428,486,970,2457,2992
IBSP,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
TFB1M,234,178,139,93,235,204,169,91,157,123,125,161,153,99,135,89
RABEP1,1387,1441,1044,657,1449,1400,1453,730,1396,763,1116,1263,561,653,1177,913
HMGB3,679,927,506,442,959,983,732,496,842,756,611,677,494,278,885,698
NUP160,815,1028,322,511,1216,1165,481,283,1095,1234,569,764,274,637,556,377
BAK1,506,544,943,762,599,547,935,740,787,387,1485,1652,401,384,1450,1398
MUSK,11,2,4,0,4,0,5,16,10,0,7,1,0,3,17,6
IKZF2,49,61,16,146,45,33,47,4,134,171,38,52,23,52,34,61
GRN,11124,12518,19772,16168,13952,12703,15982,14254,12713,7752,19351,19521,11126,9438,21526,17287
FAM13B,852,1306,729,678,1471,1513,1002,637,1076,735,776,852,175,629,698,584
ARHGAP31,1292,1569,1087,690,1643,1451,798,548,2189,1189,1021,1225,476,2782,1788,1740
CENPQ,149,165,18,15,230,208,50,19,142,45,21,38,63,31,69,33
SARS1,2547,2805,3635,3198,3040,2847,3694,2635,3090,1857,4208,4777,1772,1379,4419,4173
RANBP3,1539,1175,1224,1284,1246,1178,1565,1284,1898,1908,1718,1774,721,1027,1701,1524
ARID4A,147,215,178,267,272,219,167,94,186,382,150,141,557,74,370,160
EIPR1,363,450,354,244,396,355,335,279,482,417,475,595,191,207,571,477
PNPLA6,2575,2680,1608,1849,2540,2425,1325,1876,2387,1040,2063,1627,2663,2193,1494,1473
IFT88,84,131,40,34,187,176,87,35,101,59,64,68,122,38,93,59
ALG1,873,985,1056,939,1052,988,1075,888,1186,761,1190,1287,451,677,905,809
ZCCHC8,384,433,140,53,527,449,193,116,478,284,181,212,196,323,258,146
ABCF2,1918,2187,1915,1274,2148,2118,2105,1322,2477,2049,2166,2165,905,1397,2082,1849
CHPF2,4194,3956,6396,4784,4262,3730,5211,4550,4326,2942,5965,6133,2195,3149,5771,4335
LRRC7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT8,1174,1426,880,700,1618,1376,1119,548,1507,1349,1049,1395,451,928,1201,823
UBA6,905,1037,422,257,1040,1146,791,340,962,617,612,885,259,530,696,474
GAB2,427,488,173,107,459,512,181,178,521,262,240,179,221,486,214,189
ATP6V0A1,630,695,1806,1515,731,626,1598,1506,599,388,1962,1799,475,663,1737,1609
PIAS1,574,672,533,466,659,693,525,346,697,473,501,579,554,467,587,458
SLC4A7,498,563,477,426,950,880,798,286,686,437,498,663,1133,415,447,282
APBA2,145,74,21,76,99,196,98,46,133,75,129,140,38,404,55,48
MAP2K3,3273,3637,6031,6080,3757,3378,5267,4405,5180,2889,7897,7856,1914,3355,7455,6907
EFCAB1,2,1,3,0,2,7,6,10,9,15,13,3,13,3,11,13
TMSB10,17917,19854,14093,11842,21334,20614,15003,11435,23412,14972,19435,19392,22672,4506,19422,15809
ASTE1,89,152,65,38,129,110,109,64,126,28,117,177,13,46,79,58
RNF19A,493,475,382,395,458,454,302,279,561,230,309,519,273,330,313,238
PEX3,171,236,46,80,288,316,115,69,205,112,106,110,98,65,83,70
GABARAPL2,674,725,882,656,715,781,1049,695,676,314,990,968,382,271,930,723
MYOC,3,12,8,16,5,8,4,5,0,0,0,2,0,0,1,0
SH3YL1,128,179,49,71,192,209,89,58,179,168,24,31,64,50,36,17
FAM136A,674,686,234,254,820,815,352,226,706,282,351,337,323,288,277,240
VCL,18318,19619,11232,7917,21191,20290,11426,7525,20704,12422,12026,12846,5807,14486,11742,9444
DEPDC1B,111,154,3,0,178,176,5,0,132,43,9,18,48,59,13,8
DAPK2,221,238,373,437,277,232,440,392,199,447,404,687,266,173,372,366
NSMAF,716,803,673,634,794,812,775,260,715,776,715,562,332,773,663,530
ADSS2,808,1127,690,522,1501,1546,1100,494,929,706,869,948,422,477,869,650
STAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMP2,36094,42672,42605,32026,47013,43902,48539,31910,40522,24205,46937,50732,14962,29877,45517,38885
RFC1,1035,1082,409,497,1101,1018,568,149,1325,728,574,975,647,897,687,442
TBC1D23,575,563,604,555,661,599,638,343,792,918,474,658,115,249,754,352
CUL3,1277,1506,795,852,1874,1920,1078,583,1451,1024,700,887,688,601,854,622
MYOM2,6,0,8,0,3,3,0,7,5,0,0,9,3,0,7,0
OTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CYP46A1,6,14,56,55,15,10,27,42,10,0,46,68,36,13,64,48
ZZZ3,622,764,443,172,851,841,460,311,784,519,421,477,186,459,252,206
SLC18A1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0
USP2,6,16,58,12,25,22,49,124,21,53,47,66,22,15,87,39
CASR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBG2,207,182,304,350,237,206,295,249,317,202,395,376,161,156,430,335
RPL26L1,626,695,245,242,761,713,241,177,740,548,302,280,496,158,357,317
FLT4,3,5,2,10,10,7,4,0,5,132,10,30,2,29,12,10
NSUN2,1315,1542,1133,797,1694,1485,1336,872,1656,908,1138,1305,482,1021,1225,970
FBXO42,566,451,596,588,588,508,545,386,735,339,751,706,261,479,573,482
MFAP3,344,379,262,155,349,334,361,225,420,255,373,483,53,184,482,237
MRI1,356,413,613,547,534,439,644,570,564,303,845,939,222,417,881,760
METTL1,229,236,202,241,298,289,245,215,319,342,326,286,136,166,233,231
HOXC8,11,7,8,12,12,7,0,0,5,5,5,5,9,5,4,9
AGA,509,607,562,316,510,491,740,342,481,305,583,702,178,210,671,429
PI4K2B,714,849,551,320,898,903,531,307,842,425,714,776,344,307,619,532
BOD1L1,920,1064,996,1097,1064,1072,1184,642,850,552,961,1115,687,662,1269,922
MAT2B,657,841,671,417,1082,993,1030,405,749,538,844,1031,237,337,890,548
TLL1,1,4,2,0,3,0,20,31,6,0,25,4,0,1,0,1
EDC4,805,1012,512,399,779,963,693,508,1146,1446,740,734,809,772,626,463
TRIO,4841,5127,2219,2224,5656,5170,2285,1339,5061,5065,2356,2772,1456,5396,2369,1768
VCAN,319,541,403,735,532,388,491,302,483,362,819,638,141,161,349,358
CLEC16A,773,641,629,570,731,530,1025,504,668,517,875,757,296,708,655,1132
MSR1,4,1,3,0,1,0,0,0,0,0,3,27,0,0,0,5
CDH1,0,3,2,0,5,4,9,0,0,9,2,6,0,16,8,4
MTREX,736,1005,574,241,1093,1250,751,556,891,537,566,631,670,504,522,360
DNAH5,164,86,61,17,108,138,88,12,125,83,126,29,89,86,37,53
ZFYVE16,514,427,381,329,970,871,369,208,348,371,356,448,398,232,309,204
RIPOR1,2430,2719,2088,1647,2762,2428,1937,1893,2941,2609,2220,2265,1061,3151,1935,1719
C6,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0
RAI14,4208,5120,2498,2584,5382,5135,3248,1990,5597,3514,3589,3148,2522,4000,2703,2766
SOX30,8,5,3,11,7,4,3,5,5,0,7,16,1,4,15,9
PNKP,613,530,429,326,481,461,429,328,557,357,588,489,699,355,577,583
BEST2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0
PHLPP2,441,495,428,227,525,592,400,329,520,1024,458,525,118,623,487,320
SPDL1,902,1175,205,276,1299,1263,488,314,1251,637,569,604,1079,493,599,407
STAU2,340,288,140,261,340,341,349,254,358,447,276,285,103,168,157,186
SLC66A1,363,392,755,519,489,482,662,527,691,317,979,1052,566,479,1252,970
CTNS,509,619,360,175,690,616,401,361,592,561,297,372,320,498,347,267
RTN4R,25,14,47,79,26,10,25,50,29,9,100,126,5,23,133,144
PHF23,1131,1184,871,725,1399,1232,926,882,1354,1295,1116,997,904,805,969,872
CDH10,2,0,6,0,0,0,11,2,0,0,3,1,0,0,4,4
INPP4A,406,362,216,216,389,347,290,441,400,259,357,367,198,394,366,275
RAB27B,172,131,173,218,110,170,338,159,334,232,473,259,74,208,283,396
PSMA4,1110,1580,499,335,1926,1908,912,403,1607,1085,683,849,1344,401,697,535
LSG1,998,881,692,673,1000,883,1003,699,1023,878,1008,867,451,684,815,558
PARP3,176,229,125,192,226,244,100,111,293,155,134,124,193,179,132,127
TNC,70265,70721,52697,41732,78350,74439,43241,38874,103383,77436,71496,70692,30122,110741,65044,51358
THAP3,163,173,137,110,193,196,138,162,179,206,194,161,182,113,143,145
RIPOR3,232,367,128,121,372,326,119,160,397,213,210,241,329,560,260,152
TDP1,372,411,192,225,468,481,335,216,546,554,336,359,214,344,301,285
AIFM2,584,619,553,279,614,534,517,457,852,445,731,727,563,492,800,608
C2orf83,0,0,2,0,0,1,0,5,0,0,0,1,0,2,0,3
SPATA7,48,73,111,96,83,88,127,95,39,62,193,142,39,29,121,122
MED17,397,550,457,208,733,598,654,194,486,218,570,505,82,398,503,318
RETSAT,1032,1060,3738,3090,1089,1013,3489,2748,1173,654,3816,4279,522,828,3593,3220
CAPG,919,931,715,532,925,775,585,377,1110,774,804,955,942,356,799,662
AP2S1,2328,2483,1479,1457,2887,2559,1598,1419,3441,2208,2306,2498,3152,1320,2244,1923
USH2A,0,0,4,0,2,0,4,0,0,0,1,0,0,0,3,1
ZPBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TG,19,27,112,116,81,30,27,126,26,10,38,61,10,52,69,45
ADAM28,2,8,0,0,12,7,14,3,19,63,0,0,0,15,13,14
BARX2,8,10,0,0,7,12,6,1,8,20,8,6,7,17,10,13
DCUN1D1,295,392,254,205,356,394,358,222,391,299,366,362,157,114,403,387
JADE2,1464,1624,1594,1466,1286,1547,1720,1375,1869,928,2375,3151,646,2275,2707,2556
ZIC2,12,2,34,10,1,0,8,28,0,0,7,46,0,0,98,16
LCP2,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0
TRIT1,181,206,39,46,213,220,71,26,298,140,81,68,135,116,54,67
ADRB1,0,0,0,0,1,1,3,7,1,0,9,0,9,0,9,6
GUCA2B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CUL7,1226,1450,944,626,1353,1177,862,585,1458,1370,982,908,613,1310,923,787
CTNNA1,6586,7132,8722,7144,7208,7675,8375,7855,8724,7258,10224,11673,3017,5699,11631,9624
PHKA2,148,131,141,64,165,132,96,60,147,234,123,170,48,128,189,100
CNTLN,196,241,46,38,314,323,114,39,264,155,122,132,189,120,122,75
EPHA3,3,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0
HSPA5,18211,19889,14381,12096,20870,19972,13717,9049,17653,12675,13450,15763,8514,9335,13255,10467
DSG2,3,14,29,0,14,14,18,22,10,24,8,22,36,22,10,13
GEMIN8,112,124,128,108,134,125,169,92,128,167,185,182,42,35,131,121
OFD1,85,110,104,60,191,140,106,32,156,144,68,96,198,85,54,59
GPM6B,38,41,40,8,49,57,54,19,75,32,49,45,52,33,71,42
MAGEC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PREX2,28,7,6,1,11,54,3,1,2,0,7,13,0,3,22,4
WDR37,394,395,292,124,461,451,274,194,509,269,431,301,182,382,268,193
YTHDC2,278,513,353,529,417,452,475,366,463,307,250,541,62,184,369,251
CTPS2,169,204,44,43,282,303,73,40,364,154,80,96,412,111,43,33
ATP6V1H,713,628,1402,2061,772,682,1185,872,963,1157,1674,2064,814,410,1526,1319
POLR2B,2289,2115,1200,1003,2575,2668,1866,997,2027,1345,1273,1209,815,854,1286,768
FAM214A,211,293,425,207,332,262,481,316,131,156,592,685,242,238,550,308
ARAP2,0,0,1,8,0,0,10,5,0,0,5,25,0,0,2,7
TPR,2171,2260,882,857,2317,1998,1070,1016,2456,1619,956,1371,1893,1498,1359,1133
CP,6,2,1,0,2,2,3,2,1,17,17,8,0,7,3,7
KATNIP,334,465,181,101,468,350,280,316,421,432,309,477,418,399,395,178
DTNBP1,289,267,154,184,295,254,172,83,323,254,143,166,237,142,108,132
XK,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
ANO2,0,0,0,20,2,0,1,24,0,0,0,0,0,9,2,3
C12orf4,345,347,193,98,408,387,312,145,338,88,207,225,87,185,220,189
SCML1,144,219,147,114,232,258,239,140,256,129,187,269,61,122,308,206
WWC3,725,948,1152,916,1025,1010,1210,875,1011,504,1373,1237,331,996,1246,1086
ARHGAP6,51,48,33,34,76,69,35,41,76,39,69,47,63,92,91,110
FAM184B,2,7,22,15,13,6,36,27,12,3,26,22,7,5,14,19
MAP4,11058,11841,5931,4898,12318,11452,6020,4326,12682,8580,6458,6838,5072,10458,5614,5339
GOPC,903,1175,489,312,1445,1424,730,310,1011,712,619,691,408,464,529,365
ROS1,2,3,9,0,3,2,21,10,6,0,2,8,88,4,13,29
USP28,549,399,164,320,506,552,330,421,611,351,277,398,152,388,351,165
HDAC9,140,147,133,85,160,126,142,65,235,126,240,188,112,182,188,166
TSPAN17,935,1018,1447,1278,1047,981,1260,1198,1147,1033,1461,1535,615,751,1232,1254
NOP16,444,496,440,419,638,628,471,390,623,342,526,659,482,127,632,576
CC2D2A,275,269,107,157,317,401,222,113,375,350,126,183,370,181,136,73
RRM2B,479,708,2094,1191,851,821,3060,1167,564,254,1974,3103,283,330,2179,1442
ZNF800,240,281,221,181,369,323,189,160,315,145,224,297,31,184,373,240
TNFRSF17,0,2,1,0,0,0,1,0,0,0,0,1,0,0,2,1
SNX29,1124,1395,847,676,1340,1109,852,620,1071,951,709,957,428,1177,1008,587
LMO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRPS10,674,925,661,547,1148,1155,1092,488,771,498,674,796,403,295,562,502
GUCA1A,13,12,4,0,11,18,3,2,12,0,3,0,8,1,6,8
RSF1,942,762,733,1090,1006,802,739,406,781,1085,994,1185,1629,637,922,1014
VPS13D,710,914,379,2004,1029,1415,613,718,845,1648,608,865,604,1105,711,335
CELF2,235,289,266,134,267,293,324,239,273,76,295,590,108,234,413,343
FAM120A,4059,4363,2537,1756,3832,3643,2482,1916,4672,2855,2815,3278,855,3591,2428,2047
R3HDM1,834,723,337,318,690,587,473,347,750,413,358,486,212,539,516,332
COL9A2,18,21,46,108,10,11,51,66,8,0,74,62,30,14,113,68
KITLG,941,1222,1273,717,1424,1518,1699,919,1100,466,1647,2135,161,667,1287,1290
ERCC8,83,112,27,16,125,139,55,12,130,35,45,66,85,36,65,62
ADAMTS6,346,369,99,263,504,423,165,29,521,313,202,191,396,380,186,120
H6PD,1995,1942,2603,1920,2109,2050,2362,1616,1913,1483,2095,2234,700,2101,1820,1552
VAMP3,2079,2354,1969,1377,2460,2524,2073,1643,2152,1940,2215,2417,1066,845,2247,1729
PER3,295,420,156,208,440,420,151,88,348,181,244,156,78,189,129,112
UTS2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TNFRSF9,16,10,38,23,12,10,40,157,11,15,29,54,33,13,62,38
EPN3,0,0,0,0,0,5,2,0,0,0,2,1,0,0,0,3
LTBP1,3665,3446,2908,1686,4392,3631,2172,1443,4117,3124,2482,2644,1270,2997,1875,1519
RCN1,6272,6512,8109,6661,7388,6868,8501,5912,6928,4779,7457,9428,6739,3361,8809,6106
ELN,7581,8057,1892,1303,11720,9744,2078,1683,13699,9487,4186,3870,3024,5266,1336,1678
RFC2,765,802,363,226,920,798,495,249,1279,1246,879,963,720,571,1498,1253
ARID1B,745,1168,929,1298,1145,1057,1005,1470,1179,652,1036,1363,348,1582,1785,1121
CLPTM1L,1955,2562,3291,2327,2710,2464,4262,2404,2420,1778,3579,3930,1148,1782,3669,2901
NEDD4L,1102,937,707,666,905,1084,752,837,1589,1391,1449,1306,834,1463,1610,1128
FOXP3,4,4,6,50,4,5,3,15,3,10,15,15,0,3,19,8
PPP1R3F,94,103,230,342,125,154,225,225,101,62,269,270,137,51,374,258
