gene_name,hESC_Control_1,hESC_Control_2,hESC_RB1_null_1,hESC_RB1_null_2,hESC_RB1_null_3,teratoma_Control_1,teratoma_Control_2,teratoma_RB1_null_1,teratoma_RB1_null_2,teratoma_RB1_null_3
PTGDR2,1,1,3,1,4,25,70,40,13,64
CEP57L1,160,198,179,316,191,143,204,374,384,389
RIPPLY3,32,35,129,36,58,27,78,81,52,62
PRORY,1,2,3,3,0,5,1,3,0,1
ANKRD20A2,0,2,22,0,0,7,3,5,5,8
GPR19,202,172,398,367,269,25,44,165,261,125
GJD3,6,3,9,0,10,25,29,5,5,0
LOC102723701,0,0,3,2,4,2,1,10,8,9
RABIF,218,208,232,330,288,315,343,495,505,736
TMEM119,12,10,17,24,10,1273,1559,2244,598,3595
FANCF,389,321,502,576,513,518,616,763,1071,1042
CALN1,180,116,179,203,173,129,97,95,269,176
SMDT1,46,33,54,63,71,191,206,199,228,348
GABRR3,0,0,1,0,0,0,0,3,1,0
C2CD4C,155,180,646,273,246,109,143,231,584,378
CHST6,525,535,997,817,858,239,301,298,381,650
POTEC,15,17,42,30,18,42,27,75,118,156
RUVBL2,2348,2247,3011,3192,3550,2983,2430,2940,2740,5684
GDPGP1,39,38,45,64,73,41,74,69,104,140
MICA,28,43,43,39,25,32,37,58,46,123
CTNNA3,63,86,85,87,164,88,126,292,138,317
WT1-AS,1,2,1,2,2,11,16,30,25,39
RIMBP3C,3,6,10,9,16,0,26,47,60,51
PRR36,377,403,597,649,496,433,334,1103,3318,1145
LINC01547,22,22,61,41,41,59,70,120,154,203
OR51B4,0,0,1,0,0,0,0,0,0,0
PTTG1IP,2900,3402,3710,3999,5087,4952,5734,6369,6570,16993
DDX41,1156,1183,1541,1663,1756,1231,1190,1200,1664,3515
ABHD16B,0,0,0,2,0,0,0,0,5,0
OR52E8,0,0,0,0,0,0,0,0,0,0
CCDC60,7,8,17,8,7,100,98,53,25,70
PLGLB1,14,18,27,13,9,28,20,50,62,44
DAZAP2,798,599,582,537,863,3885,3743,3907,3347,7323
CCBE1,131,101,242,158,100,59,97,538,79,883
SELENOF,2033,1814,2406,2860,2433,2303,2910,2905,2469,4880
TISP43,2,0,1,1,2,9,1,6,6,9
OR5P2,0,0,0,0,0,0,0,0,0,0
FAM9A,2,0,0,2,0,1,1,1,5,2
MAGEA2B,0,2,15,2,5,2,9,0,9,0
CECR6,220,276,328,406,284,132,164,789,1600,563
ZNF623,110,299,496,513,223,231,271,422,692,999
OR2T34,0,0,0,0,0,0,0,0,0,0
TUBB,18943,17370,28893,25590,34878,12548,18095,42014,49560,67759
OR52L1,0,0,0,0,0,0,0,0,0,0
EPHA10,17,24,28,18,8,36,49,37,114,54
SPDYE4,0,1,1,0,0,0,0,0,0,0
CCDC125,41,108,112,117,152,134,116,148,141,181
REC114,0,1,1,0,0,0,0,0,0,0
BOLA2,70,138,148,230,185,81,106,92,198,315
BCOR,1968,1659,3497,2774,2913,1412,1580,3222,4734,3934
JRKL,184,178,208,271,132,278,271,359,433,538
C10orf107,1,0,0,0,0,237,127,241,89,151
GBP6,8,5,5,2,10,737,138,32,1,87
KIAA2026,360,392,509,544,355,494,531,900,1598,1237
OVCH2,6,7,5,6,6,5,3,4,5,2
SYNDIG1L,16,10,25,12,0,11,8,20,113,21
TTTY8,2,1,1,0,0,1,1,1,1,1
FHL3,569,592,466,663,1227,809,816,1277,769,2592
OR56A4,0,0,0,0,0,0,0,0,0,0
PMCH,5,7,9,6,2,0,47,18,42,0
TMEM89,0,0,7,2,0,0,0,0,2,0
C19orf71,17,10,46,19,28,13,16,22,58,79
CCDC159,18,24,66,34,24,136,141,165,96,291
RIPK4,146,115,138,127,154,860,517,257,78,1096
LRIT3,10,13,9,4,5,0,3,0,6,1
NPIPA1,110,69,239,150,35,54,21,111,190,86
SF3A3,4918,4164,6022,6709,7370,1242,1879,2851,2856,4550
TFDP3,1,1,1,0,5,1,1,3,2,2
TRIM61,56,42,4,67,83,29,35,7,49,68
GRIN2A,86,62,177,138,107,56,143,208,167,285
URAD,0,0,1,0,0,87,344,183,0,382
FLJ40288,0,0,0,0,0,0,0,0,0,0
GTF2H2C,559,506,1063,966,944,61,219,332,301,496
ASB7,286,287,418,408,289,429,365,491,596,783
SH2D7,13,10,22,21,13,9,27,18,41,39
TREX2,6,2,15,10,6,20,9,7,3,12
GPR132,1,6,16,3,2,17,20,30,20,75
