gene_name,1-2B-8-3:_K562_cells_RBM48_KO_#1,2-2B-9-4:_K562_cells_RBM48_KO_#2,3-2B-10-5:_K562_cells_RBM48_KO_#3,4-2B-11-6:_K562_cells_RBM48_KO_#4,5-2B-12-7:_K562_cells_RBM48_KO_#5,6-2B-13-8:_K562_cells_RBM48_KO_#6,7-VC-8-3:_K562_cells_Vector_Control_#1,8-VC-9-4:_K562_cells_Vector_Control_#2,9-VC-10-5:_K562_cells_Vector_Control_#3,10-VC-11-6:_K562_cells_Vector_Control_#4,11-VC-12-7:_K562_cells_Vector_Control_#5,12-VC-13-8:_K562_cells_Vector_Control_#6
SIX3-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LOC107987032,0,1,1,0,3,0,0,6,0,0,0,0
RPL21P133,0,0,3,6,3,2,2,0,11,4,1,4
LINC01231,0,0,0,0,0,0,0,0,0,0,0,0
RPL29P1,0,1,0,0,0,0,0,2,0,0,3,0
LOC101928201,0,3,2,0,0,2,0,0,0,0,0,0
ZBTB9,1450,283,921,1210,1029,975,1007,645,1091,1083,1152,1053
GPC6-AS1,0,0,0,0,0,0,0,0,0,0,0,0
NPAP1P4,0,0,0,0,0,0,0,0,0,0,0,0
NPM1P40,0,0,0,0,0,1,0,0,0,2,0,0
LOC84214,3,0,8,15,15,16,12,7,19,8,2,17
KPNA2P1,2,0,0,0,3,0,0,0,0,0,11,0
LINC01695,13,37,27,17,26,25,15,14,17,55,20,30
H3P36,0,0,0,2,0,0,0,1,1,2,0,0
VN2R9P,0,0,0,0,0,0,0,0,0,0,0,0
LOC102723971,0,0,0,0,0,0,0,0,0,0,0,0
MYCL-AS1,0,0,2,3,0,0,2,2,1,2,0,0
RNF217-AS1,26,45,58,81,92,55,51,55,69,84,145,91
RPL13AP5,25,42,25,26,42,14,14,30,16,18,37,20
ASNSP3,0,0,0,0,0,1,0,0,0,0,0,0
PPP1R11,716,793,543,417,731,622,744,687,730,660,678,558
MOG,0,0,0,0,0,0,0,0,0,0,0,0
YWHAQP5,9,10,13,18,21,8,19,12,3,16,10,4
HNRNPA3P5,2,0,0,0,0,2,0,1,0,1,0,1
RAD23BP1,1,0,0,0,0,0,0,0,0,0,0,0
LOC112267990,0,0,0,0,0,0,0,0,0,0,0,0
LOC100631242,0,0,0,0,0,0,0,1,0,0,0,0
SNRPGP14,0,9,2,2,3,8,2,14,12,10,1,3
HCG9,0,0,0,7,0,0,0,0,0,9,2,0
STARD13-AS,0,0,0,0,0,0,0,0,0,0,0,0
PRPF38AP2,6,6,20,13,19,10,8,15,13,20,17,18
MTATP6P4,0,0,0,0,0,0,0,0,0,0,0,0
RPS27AP14,0,0,0,0,0,0,0,0,0,0,0,0
MED15P5,0,0,0,0,0,0,0,0,0,0,0,0
IGHD7-27,0,0,0,0,0,0,0,0,0,0,0,0
EEF1DP8,0,0,0,0,1,0,0,0,0,0,0,0
EIF4A1P6,1,0,0,0,1,1,0,0,1,0,0,0
ZNF853,4,4,1,5,3,1,2,4,1,1,0,1
SOCS5P1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02556,2,0,1,0,0,0,0,0,4,1,0,3
LOC101928530,1,0,0,4,0,3,0,0,3,1,0,0
PITPNA-AS1,186,146,195,284,200,225,201,181,202,228,201,168
C4B,4,0,6,0,0,0,0,0,0,0,0,0
MTND5P17,0,0,0,0,0,0,0,0,0,0,0,0
LINC02540,0,0,0,0,0,0,0,0,0,0,0,0
IFNA4,0,0,0,0,0,0,0,0,0,0,0,0
LINC02810,0,0,0,1,0,0,0,0,0,0,0,0
PPT2,34,0,0,24,0,0,43,72,0,52,90,0
DLX2-DT,14,3,11,5,18,6,3,5,8,16,29,18
SLC6A14P3,0,0,0,1,0,1,0,0,0,0,1,0
FRGCA,1,4,0,1,0,0,1,1,0,0,0,0
RPL27AP3,0,0,0,0,0,0,0,0,0,0,0,0
LOC100505588,0,0,0,0,0,0,0,0,0,0,0,0
KRT18P5,49,71,166,200,138,111,70,112,134,125,99,227
TSBP1,0,0,0,0,0,0,0,0,0,0,0,0
LOC441887,0,0,0,0,0,0,0,1,0,0,0,0
LINC00347,0,0,0,0,0,0,0,0,0,0,0,0
RPL23AP24,0,0,0,0,0,0,0,0,0,0,0,0
PSMC3P1,0,0,0,0,0,0,0,0,1,0,0,0
MAP3K2-DT,33,60,36,48,61,31,47,47,30,57,70,25
MTCO2P21,0,0,0,0,0,0,0,0,0,0,0,0
HLA-DPB1,1,8,0,1,0,2,0,2,0,0,0,8
ARHGEF38,0,1,0,0,0,0,0,1,0,0,0,0
LINC01010,0,0,0,1,0,2,0,1,2,0,7,2
LOC100422376,0,1,0,0,0,0,0,0,0,0,0,0
CNOT4P1,0,0,0,0,0,0,0,0,0,0,0,0
DAPK1-IT1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01844,0,1,1,0,0,0,0,17,0,1,2,0
OVAAL,5,7,3,1,1,4,4,13,1,4,0,3
LINC01741,0,0,0,0,0,0,0,0,0,0,0,0
RPL27P9,0,0,0,0,0,0,0,0,0,0,0,0
HCG17,0,6,0,1,1,0,0,6,0,0,0,0
RPL31P63,1,1,0,1,1,0,0,1,0,0,0,0
UQCRC2P1,0,0,0,0,0,1,0,0,0,0,0,0
LOC101927189,1,5,2,3,0,1,5,5,5,4,16,5
YRDCP2,0,0,0,0,0,0,0,0,0,0,0,0
LINC01282,0,1,0,0,2,0,0,0,0,0,0,0
RPL9P19,0,0,0,0,0,0,0,0,0,0,0,0
MKLN1-AS,271,544,590,742,609,554,434,506,389,707,763,695
DNAJC9-AS1,22,27,18,60,50,19,25,13,58,36,42,52
EHMT2,0,0,0,0,0,0,0,0,0,0,0,0
CTAGE9,3,3,2,0,0,0,0,0,0,0,0,0
DXO,0,0,0,0,0,0,0,0,0,0,0,0
